Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;ID;Lektion
* Lektion 14;*Lektion 14;* Lektion 14;*Lektion 14;*Lektion 14;*Lektion 14;*Lektion 14;L14-1-00;L14 - Vokabeln
bewölkt;yīn;Adjektiv;;;阴;;L14-1-01;L14 - Vokabeln
Smog;wùmái;Nomen;;;雾霾;;L14-1-02;L14 - Vokabeln
Frühling;chūntiān;Nomen;;;春天;;L14-1-03;L14 - Vokabeln
Grad (Temperatur);dù;Nomen;;;度;;L14-1-04;L14 - Vokabeln
hinausgehen;chū;Verb;;;出;;L14-1-05;L14 - Vokabeln
Herbst;qiūtiān;Nomen;;;秋天;;L14-1-06;L14 - Vokabeln
Jahreszeit;jìjié;Nomen;;;季节;;L14-1-07;L14 - Vokabeln
kalt;lěng;Adjektiv;;;冷;;L14-1-08;L14 - Vokabeln
lachen;xiào;Verb;;;笑;;L14-1-09;L14 - Vokabeln
Temperatur;qìwēn;Nomen;;;气温;;L14-1-10;L14 - Vokabeln
Regen/es regnet;yǔ/xiàyǔ;Nomen / Verb;;;雨/下雨;;L14-1-11;L14 - Vokabeln
schweben;piāo;Verb;;;飘;;L14-1-12;L14 - Vokabeln
fotografieren;zhào;Verb;;;照;;L14-1-13;L14 - Vokabeln
Schnee/es schneit;xuě/xiàxuě;Nomen / Verb;;;雪/下雪;;L14-1-14;L14 - Vokabeln
Sommer;xiàtiān;Nomen;;;夏天;;L14-1-15;L14 - Vokabeln
Sonne;tàiyáng;Nomen;;;太阳;;L14-1-16;L14 - Vokabeln
heiß;rè;Adjektiv;;;热;;L14-1-17;L14 - Vokabeln
Wetter;tiānqì;Nomen;;;天气;;L14-1-18;L14 - Vokabeln
Wind/es weht der Wind;fēng/guāfēng;Nomen / Verb;;;风/刮风;;L14-1-19;L14 - Vokabeln
Winter;dōngtiān;Nomen;;;冬天;;L14-1-20;L14 - Vokabeln
Wolke;yún;Nomen;;;云;;L14-1-21;L14 - Vokabeln
gestern;zuótiān;Nomen;;;昨天;;L14-1-22;L14 - Vokabeln
gleich;yíyàng;Adverb;;;一样;;L14-1-23;L14 - Vokabeln
Große Mauer;Chángchéng;Nomen;;;长城;;L14-1-24;L14 - Vokabeln
heiter;qíng;Adjektiv;;;晴;;L14-1-25;L14 - Vokabeln
hoch;gāo;Adjektiv;;;高;;L14-1-26;L14 - Vokabeln
Hainan Insel;Hǎinán Dǎo;Nomen;;;海南岛;;L14-1-27;L14 - Vokabeln
letztes Jahr;qùnián;Nomen;;;去年;;L14-1-28;L14 - Vokabeln
unter Null;língxià;Adjektiv;;;零下;;L14-1-29;L14 - Vokabeln
niedrig;dī;Adjektiv;;;低;;L14-1-30;L14 - Vokabeln
Norden;běifāng;Nomen;;;北方;;L14-1-31;L14 - Vokabeln
obwohl... aber...;suīrán... dànshì...;Redewendung;;;虽然···但是···;;L14-1-32;L14 - Vokabeln
Postkarte;míngxìnpiàn;Nomen;;;明信片;;L14-1-33;L14 - Vokabeln
reisen;lǚyóu;Verb;;;旅游;;L14-1-34;L14 - Vokabeln
sich drehen;zhuǎn;Verb;;;转;;L14-1-35;L14 - Vokabeln
schwer, schlimm;lìhai;Adjektiv;;;厉害;;L14-1-36;L14 - Vokabeln
Süden;nánfāng;Nomen;;;南方;;L14-1-37;L14 - Vokabeln
ungefähr, etwa;zuǒyòu;Adverb;;;左右;;L14-1-38;L14 - Vokabeln
Vorhersage;yùbào;Nomen;;;预报;;L14-1-39;L14 - Vokabeln
können, werden;huì;Verb;;;会;;L14-1-40;L14 - Vokabeln
bald...;yào... le;Redewendung;;;要···了;;L14-1-41;L14 - Vokabeln
wieder, noch;yòu;Adverb;;;又;;L14-1-42;L14 - Vokabeln
* Lektion 15;*Lektion 15;* Lektion 15;*Lektion 15;*Lektion 15;*Lektion 15;*Lektion 15;L15-1-00;L15 - Vokabeln
Arm;gēbo;Nomen;;;胳膊;;L15-1-01;L15 - Vokabeln
Arzt;yīshēng;Nomen;;;医生;;L15-1-02;L15 - Vokabeln
aufstehen;qǐchuáng;Verb;;;起床;;L15-1-03;L15 - Vokabeln
Bauch;dùzi;Nomen;;;肚子;;L15-1-04;L15 - Vokabeln
Bein;tuǐ;Nomen;;;腿;;L15-1-05;L15 - Vokabeln
Durchfall haben;lādùzi;Verb;;;拉肚子;;L15-1-06;L15 - Vokabeln
sich übergeben;ǒutù;Verb;;;呕吐;;L15-1-07;L15 - Vokabeln
Fieber haben;fāshāo;Verb;;;发烧;;L15-1-08;L15 - Vokabeln
Fuß;jiǎo;Nomen;;;脚;;L15-1-09;L15 - Vokabeln
Hals, Kehle;sǎngzi;Nomen;;;嗓子;;L15-1-10;L15 - Vokabeln
Hand;shǒu;Nomen;;;手;;L15-1-11;L15 - Vokabeln
Taille, Rücken;yāo;Nomen;;;腰;;L15-1-12;L15 - Vokabeln
husten;késou;Verb;;;咳嗽;;L15-1-13;L15 - Vokabeln
Knie;xīgài;Nomen;;;膝盖;;L15-1-14;L15 - Vokabeln
Kopf;tóu;Nomen;;;头;;L15-1-15;L15 - Vokabeln
Krankheit/krank werden;bìng/shēngbìng;Nomen / Verb;;;病/生病;;L15-1-16;L15 - Vokabeln
Rücken;bèi;Nomen;;;背;;L15-1-17;L15 - Vokabeln
schmerzen;téng;Verb;;;疼;;L15-1-18;L15 - Vokabeln
Schulter;jiānbǎng;Nomen;;;肩膀;;L15-1-19;L15 - Vokabeln
fühlen;gǎndào;Verb;;;感到;;L15-1-20;L15 - Vokabeln
bequem, sich wohlfühlen;shūfu;Adjektiv;;;舒服;;L15-1-21;L15 - Vokabeln
wenig;shǎo;Adjektiv;;;少;;L15-1-22;L15 - Vokabeln
andere;biéde;Adjektiv;;;别的;;L15-1-23;L15 - Vokabeln
sich ausruhen;xiūxi;Verb;;;休息;;L15-1-24;L15 - Vokabeln
erkältet sein;gǎnmào;Verb;;;感冒;;L15-1-25;L15 - Vokabeln
gerade (machen);zhèngzài/zài;Adverb;;;正在/在;;L15-1-26;L15 - Vokabeln
gesund werden;huīfù jiànkāng;Verb;;;恢复健康;;L15-1-27;L15 - Vokabeln
öffnen;kāi;Verb;;;开;;L15-1-28;L15 - Vokabeln
Kollege;tóngshì;Nomen;;;同事;;L15-1-29;L15 - Vokabeln
Krankenhaus;yīyuàn;Nomen;;;医院;;L15-1-30;L15 - Vokabeln
Krankheitsurlaub;bìngjià;Nomen;;;病假;;L15-1-31;L15 - Vokabeln
Medizin;yào;Nomen;;;药;;L15-1-32;L15 - Vokabeln
Boden, Ort;dì;Nomen;;;地;;L15-1-33;L15 - Vokabeln
gegenüber, für;duì;Präposition;;;对;;L15-1-34;L15 - Vokabeln
schlafen;shuìjiào;Verb;;;睡觉;;L15-1-35;L15 - Vokabeln
um Urlaub/Krankheit bitten;qǐngjià/qǐngjiàtiáo;Nomen;;;请假/请假条;;L15-1-36;L15 - Vokabeln
sich entzünden;fāyán;Nomen;;;发炎;;L15-1-37;L15 - Vokabeln
lassen, zulassen;ràng;Verb;;;让;;L15-1-38;L15 - Vokabeln
frühzeitig;zǎorì;Adverb;;;早日;;L15-1-39;L15 - Vokabeln
möglich;kěnéng;Adjektiv;;;可能;;L15-1-40;L15 - Vokabeln
waschen;xǐ;Verb;;;洗;;L15-1-41;L15 - Vokabeln
ZEW für längliche Dinge (z.B. Fisch);tiáo/tiáozi;Zählerwort;;;条/条子;;L15-1-42;L15 - Vokabeln
ZEW für Körner;lì;Zählerwort;;;粒;;L15-1-43;L15 - Vokabeln
* Lektion 16;*Lektion 16;* Lektion 16;*Lektion 16;*Lektion 16;*Lektion 16;*Lektion 16;L16-1-00;L16 - Vokabeln
vorbereiten;zhǔnbèi;Verb;;;准备;;L16-1-01;L16 - Vokabeln
schicken;fā;Verb;;;发;;L16-1-02;L16 - Vokabeln
bequem, praktisch;fāngbiàn;Adjektiv;;;方便;;L16-1-03;L16 - Vokabeln
brauchen, benötigen;xūyào;Verb;;;需要;;L16-1-04;L16 - Vokabeln
Büro;bàngōngshì;Nomen;;;办公室;;L16-1-05;L16 - Vokabeln
Computer;diànnǎo;Nomen;;;电脑;;L16-1-06;L16 - Vokabeln
Drucker;dǎyìnjī;Nomen;;;打印机;;L16-1-07;L16 - Vokabeln
durchgehen;tōngguò;Verb;;;通过;;L16-1-08;L16 - Vokabeln
E-Mail;diànzǐ yóujiàn;Nomen;;;电子邮件;;L16-1-09;L16 - Vokabeln
manche;yǒude;Adjektiv;;;有的;;L16-1-10;L16 - Vokabeln
für;wèi;Präposition;;;为;;L16-1-11;L16 - Vokabeln
Hallo? (am Telefon);wèi;Interjektion;;;喂;;L16-1-12;L16 - Vokabeln
Handy;shǒujī;Nomen;;;手机;;L16-1-13;L16 - Vokabeln
Information, Nachricht;xìnxī;Nomen;;;信息;;L16-1-14;L16 - Vokabeln
ins Internet gehen;shàngwǎng;Verb;;;上网;;L16-1-15;L16 - Vokabeln
Internet;hùliánwǎng;Nomen;;;互联网;;L16-1-16;L16 - Vokabeln
Telefon;diànhuà;Nomen;;;电话;;L16-1-17;L16 - Vokabeln
telefonieren;dǎ diànhuà;Verb;;;打电话;;L16-1-18;L16 - Vokabeln
Tisch;zhuōzi;Nomen;;;桌子;;L16-1-19;L16 - Vokabeln
senden;chuánsòng;Verb;;;传送;;L16-1-20;L16 - Vokabeln
weil... daher...;yīnwèi... suǒyǐ...;Redewendung;;;因为···所以···;;L16-1-21;L16 - Vokabeln
Adresse;dìzhǐ;Nomen;;;地址;;L16-1-22;L16 - Vokabeln
vorbeigehen;guò;Verb;;;过;;L16-1-23;L16 - Vokabeln
Dokument;wénjiàn;Nomen;;;文件;;L16-1-24;L16 - Vokabeln
E-Mail-Adresse;diànzǐ yóuxiāng;Nomen;;;电子邮箱;;L16-1-25;L16 - Vokabeln
Frau;nǚshì;Nomen;;;女士;;L16-1-26;L16 - Vokabeln
Glück;xìngfú;Nomen;;;幸福;;L16-1-27;L16 - Vokabeln
Harmonie;héxié;Nomen;;;和谐;;L16-1-28;L16 - Vokabeln
herunterladen;xiàzǎi;Verb;;;下载;;L16-1-29;L16 - Vokabeln
während (einer Zeit);zài... qījiān;Präposition;;;在···期间;;L16-1-30;L16 - Vokabeln
ins Heimatland zurückkehren;huíguó;Verb;;;回国;;L16-1-31;L16 - Vokabeln
Nachrichten;xīnwén;Nomen;;;新闻;;L16-1-32;L16 - Vokabeln
nächstes Jahr;míngnián;Nomen;;;明年;;L16-1-33;L16 - Vokabeln
nicht nur... sondern auch...;bùdàn... érqiě...;Redewendung;;;不但···而且···;;L16-1-34;L16 - Vokabeln
ordnen;zhěnglǐ;Verb;;;整理;;L16-1-35;L16 - Vokabeln
danken;gǎnxiè;Verb;;;感谢;;L16-1-36;L16 - Vokabeln
sich treffen;jiànmiàn;Verb;;;见面;;L16-1-37;L16 - Vokabeln
übersetzen;fānyì;Verb;;;翻译;;L16-1-38;L16 - Vokabeln
Werbung;guǎnggào;Nomen;;;广告;;L16-1-39;L16 - Vokabeln
äußern, anzeigen;biǎoshì;Verb;;;表示;;L16-1-40;L16 - Vokabeln
kooperieren;hézuò;Nomen;;;合作;;L16-1-41;L16 - Vokabeln
