Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;Lektion;
Hund;gǒu;Nomen;Tāmen yǒu yì zhī dà gǒu hé yì zhī xiǎo māo.;Sie haben einen großen Hund und eine kleine Katze.;狗;他们有一只大狗和一只小猫。;L07-1-08;L07
in Rente gehen;tuìxiū;Verb;Wǒ hé wǒ zhàngfu yǐjīng tuìxiū le.;Mein Mann und ich sind schon im Ruhestand.;退休;我和我丈夫已经退休了。;L07-1-09;L07
jüngere Schwester;mèimei;Nomen;Tā shì wǒ de mèimei.;Sie ist meine jüngere Schwester.;妹妹;她是我的妹妹。;L07-1-10;L07
jüngerer Bruder;dìdi;Nomen;Tā shì wǒ de dìdi.;Er ist mein jüngerer Bruder.;弟弟;他是我的弟弟。;L07-1-11;L07
Kind;háizi;Nomen;Tā jīnnián èrshísì suì, jiéhūn le, yǒu yí gè háizi.;Sie ist dieses Jahr 24, verheiratet und hat ein Kind.;孩子;她今年二十四岁，结婚了，有一个孩子。;L07-1-12;L07
klein;xiǎo;Adjektiv;Tāmen yǒu yì zhī dà gǒu hé yì zhī xiǎo māo.;Sie haben einen großen Hund und eine kleine Katze.;小;他们有一只大狗和一只小猫。;L07-1-13;L07
Manager;jīnglǐ;Nomen;Tā shì yí gè gōngsī de jīnglǐ.;Er ist Manager in einer Firma.;经理;他是一个公司的经理。;L07-1-14;L07
Mutter;mǔqīn;Nomen;Nǐ kàn, zhè shì wǒ fùqīn, mǔqīn.;Sieh mal, das sind mein Vater und meine Mutter.;母亲;你看，这是我父亲、母亲。;L07-1-15;L07
nur, bloß;zhǐ;Zählwort;Zhǐ yǒu yí gè jiějie.;Ich habe nur eine ältere Schwester.;只;只有一个姐姐。;L07-1-16;L07
ZEW für Tiere;zhī;Zählwort;Zhǐ yǒu yí gè gǒu.;Ich habe nur einen Hund.;只;只有一个姐姐。;L07-1-16;L07
schon;yǐjīng;Adverb;Wǒ hé wǒ zhàngfu yǐjīng tuìxiū le.;Mein Mann und ich sind schon im Ruhestand.;已经;我和我丈夫已经退休了。;L07-1-17;L07
Sohn;érzi;Nomen;Nà gè shì wǒmen de érzi, tā shì dàxuéshēng.;Das ist unser Sohn, er ist Student.;儿子;那个是我们的儿子，他是大学生。;L07-1-18;L07
Tochter;nǚ'ér;Nomen;Nǚ’ér, tā shì gōngchéngshī, zài Shànghǎi gōngzuò.;Unsere Tochter, sie ist Ingenieurin und arbeitet in Shanghai.;女儿;女儿，她是工程师，在上海工作。;L07-1-19;L07
Vater;fùqīn;Nomen;Nǐ kàn, zhè shì wǒ fùqīn, mǔqīn.;Sieh mal, das sind mein Vater und meine Mutter.;父亲;你看，这是我父亲、母亲。;L07-1-20;L07
Mund, Zähleinheit für Familienmitglieder;kǒu;Nomen / Zählwort;Wǒ jiā yǒu wǔ kǒu rén.;Meine Familie hat fünf Mitglieder.;口;我家有五口人。;L07-1-21;L07
alle;dōu;Adverb;Tāmen dōu hěn piàoliang.;Sie sind beide sehr hübsch.;都;它们都很漂亮。;L07-1-22;L07
dieses Jahr;jīnnián;Nomen;Jīnnián wǒ bàba wǔshísān suì.;Dieses Jahr ist mein Vater 53 Jahre alt.;今年;今年我爸爸五十三岁。;L07-1-23;L07
es;tā;Pronomen;Tāmen dōu hěn piàoliang.;Sie sind beide sehr hübsch.;它;它们都很漂亮。;L07-1-24;L07
Geschwister;xiōngdì jiěmèi;Nomen;Nǐ yǒu méiyǒu xiōngdì jiěmèi?;Hast du Geschwister?;兄弟姐妹;你有没有兄弟姐妹？;L07-1-25;L07
Grüße ausrichten;wènhǎo;Redewendung;Qǐng xiàng tāmen wèn hǎo!;Bitte richte ihnen Grüße aus!;问好;请向他们问好！;L07-1-26;L07
Katze;māo;Nomen;Tāmen yǒu yì zhī dà gǒu hé yì zhī xiǎo māo.;Sie haben einen großen Hund und eine kleine Katze.;猫;他们有一只大狗和一只小猫。;L07-1-27;L07
Leben;shēnghuó;Nomen;Tāmen shēnghuó de zhēn hǎo.;Sie führen wirklich ein gutes Leben.;生活;他们生活得真好。;L07-1-28;L07
Jahre (Alter);suì;Zählwort;Tā sìshísān suì.;Er ist 43 Jahre alt.;岁;他四十三岁。;L07-1-29;L07
lieben;ài;Verb;Wǒmen yě ài qù tāmen nàr hē kāfēi.;Wir gehen auch gerne zu ihnen Kaffee trinken.;爱;我们也爱去他们那儿喝咖啡。;L07-1-30;L07
machen;zuò;Verb;Nǐ bàba, māma zuò shénme gōngzuò?;Was arbeiten deine Eltern?;做;你爸爸、妈妈做什么工作？;L07-1-31;L07
Mutter;māma;Nomen;Bàba shì gōngchéngshī, māma shì xuéxiào de lǎoshī.;Mein Vater ist Ingenieur, meine Mutter ist Lehrerin.;妈妈;爸爸是工程师，妈妈是学校的老师。;L07-1-32;L07
oft;chángcháng/cháng;Adverb;… cháng lái wǒmen zhèr wánr.;… kommen oft zu uns zu Besuch.;常;常来我们这儿玩儿。;L07-1-33;L07
Vater;bàba;Nomen;Bàba shì gōngchéngshī.;Mein Vater ist Ingenieur.;爸爸;爸爸是工程师。;L07-1-34;L07
Schule;xuéxiào;Nomen;Māma shì xuéxiào de lǎoshī.;Meine Mutter ist Lehrerin an einer Schule.;学校;妈妈是学校的老师。;L07-1-35;L07
spielen;wán;Verb;… cháng lái wǒmen zhèr wánr.;… kommen oft zu uns zu Besuch und spielen hier.;玩;常来我们这儿玩儿。;L07-1-36;L07
bekommen;de;Partikel;Tāmen shēnghuó de zhēn hǎo.;Sie führen wirklich ein gutes Leben.;得;他们生活得真好。;L07-1-37;L07
weiblich, Frau;nǚ;Adjektiv / Nomen;Wǒ nǚ péngyou.;Meine Freundin.;女;我女朋友。;L07-1-38;L07
wie alt;duōdà;Fragewort;Tāmen jīnnián duō dà le?;Wie alt sind sie dieses Jahr?;多大;他们今年多大了？;L07-1-39;L07
wirklich;zhēn;Adverb;Tāmen shēnghuó de zhēn hǎo.;Sie führen wirklich ein gutes Leben.;真;他们生活得真好。;L07-1-40;L07
denken, möchten;xiǎng;Verb;Nǐ xiǎng bù xiǎng nǐ bàba, māma?;Vermisst du deine Eltern?;想;你想不想你爸爸、妈妈？;L07-1-41;L07
in Richtung;xiàng;Präposition;Qǐng xiàng tāmen wèn hǎo!;Bitte richte ihnen Grüße aus!;向;请向他们问好！;L07-1-42;L07
* Lektion 8;*Lektion 8;* Lektion 8;*Lektion 8;*Lektion 8;*Lektion 8;*Lektion 8;L08-1-00;L08
entfernt sein von;lí;Präposition;;;离;;L08-1-01;L08
gehen;zǒu;Verb;;;走;;L08-1-02;L08
Bar;jiǔbā;Nomen;;;酒吧;;L08-1-03;L08
so, auf diese Weise;nàme;Adverb;;;那么;;L08-1-04;L08
Taxi nehmen;dǎdī;Verb;;;打的;;L08-1-05;L08
fahren, öffnen;kāi;Verb;;;开;;L08-1-06;L08
Fahrrad;zìxíngchē;Nomen;;;自行车;;L08-1-07;L08
weit;yuǎn;Adjektiv;;;远;;L08-1-08;L08
fragen;wèn;Verb;;;问;;L08-1-09;L08
Fräulein;xiǎojiě;Nomen;;;小姐;;L08-1-10;L08
hinten, hinter;hòu/hòumiàn;Nomen;;;后/后面;;L08-1-11;L08
Auto;chē/qìchē;Nomen;;;车/汽车;;L08-1-12;L08
nah;jìn;Adjektiv;;;近;;L08-1-13;L08
oder;huòzhě;Konjunktion;;;或者;;L08-1-14;L08
öffentliche Toilette;gōnggòng cèsuǒ;Nomen;;;公共厕所;;L08-1-15;L08
Bus;gōngjiāochē;Nomen;;;公交车;;L08-1-16;L08
reiten, fahren (Fahrrad);qí;Verb;;;骑;;L08-1-17;L08
Taxi;chūzūchē;Nomen;;;出租车;;L08-1-18;L08
viel;duō;Adjektiv;;;多;;L08-1-19;L08
zu Fuß gehen;zǒulù;Verb;;;走路;;L08-1-20;L08
zu viel;tàiduōle;Redewendung;;;太多了;;L08-1-21;L08
zurückgehen;huí;Verb;;;回;;L08-1-22;L08
abbiegen;guǎi;Verb;;;拐;;L08-1-23;L08
draußen, außerhalb;wài/wàimiàn;Nomen;;;外/外面;;L08-1-24;L08
aussteigen;xiàchē;Verb;;;下车;;L08-1-25;L08
ankommen, bis;dào;Verb;;;到;;L08-1-26;L08
genau, eben;jiù;Adverb;;;就;;L08-1-27;L08
einsteigen;shàngchē;Verb;;;上车;;L08-1-28;L08
Linie;xiàn;Nomen;;;线;;L08-1-29;L08
links;zuǒ/zuǒbiān;Nomen;;;左/左边;;L08-1-30;L08
nach, in Richtung;wǎng;Präposition;;;往;;L08-1-31;L08
Nanjing;Nánjīng;Eigenname;;;南京;;L08-1-32;L08
neben;pángbiān;Nomen;;;旁边;;L08-1-33;L08
Osten;dōng;Nomen;;;东;;L08-1-34;L08
Zählwort (für Reihenfolge);dì;Präfix;;;第;;L08-1-35;L08
rechts;yòu/yòubiān;Nomen;;;右/右边;;L08-1-36;L08
Station, Haltestelle;zhàn;Nomen;;;站;;L08-1-37;L08
Straße, Weg;lù;Nomen;;;路;;L08-1-38;L08
Straßenkreuzung;lùkǒu;Nomen;;;路口;;L08-1-39;L08
U-Bahn;dìtiě;Nomen;;;地铁;;L08-1-40;L08
vorne;qián/qiánmiàn;Nomen;;;前/前面;;L08-1-41;L08
Westen;xī;Nomen;;;西;;L08-1-42;L08
Der Bund (in Shanghai);Wàitān;Eigenname;;;外滩;;L08-1-43;L08
* Lektion 8 Dialoge;*Lektion 8 Dialoge;* Lektion 8 Dialoge;*Lektion 8 Dialoge;*Lektion 8 Dialoge;*Lektion 8 Dialoge;*Lektion 8 Dialoge;L08-D-00;L08
Ich möchte in die Bar gehen.;Wǒ xiǎng qù jiǔbā.;;Wǒ xiǎng qù jiǔbā.;Ich möchte in die Bar gehen.;我想去酒吧。;;L08-D-01;L08
Die Bar ist nicht weit von hier. Wie kommst du dorthin?;Jiǔbā lí zhèr bù yuǎn, nǐ zěnme qù?;;Jiǔbā lí zhèr bù yuǎn, nǐ zěnme qù?;Die Bar ist nicht weit von hier. Wie kommst du dorthin?;酒吧离这儿不远，你怎么去？;;L08-D-02;L08
Ich möchte mit dem Auto oder dem Fahrrad hinfahren.;Wǒ xiǎng kāichē huòzhě qí zìxíngchē qù.;;Wǒ xiǎng kāichē huòzhě qí zìxíngchē qù.;Ich möchte mit dem Auto oder dem Fahrrad hinfahren.;我想开车或者骑自行车去。;;L08-D-03;L08
Ich nehme die U-Bahn oder den Bus.;Chéng dìtiě huòzhě zuò gōnggòng qìchē qù.;;Chéng dìtiě huòzhě zuò gōnggòng qìchē qù.;Ich nehme die U-Bahn oder den Bus.;乘地铁或者坐公共汽车去。;;L08-D-04;L08
Ich fahre nicht gern mit dem Bus.;Wǒ bù xǐhuan zuò gōngchē.;;Wǒ bù xǐhuan zuò gōngchē.;Ich fahre nicht gern mit dem Bus.;我不喜欢坐公车。;;L08-D-05;L08
In den Bussen sind die meisten Leute müde oder schlafen.;Chē lǐ de rén dàduō lè huòzhě shuìjiào.;;Chē lǐ de rén dàduō lè huòzhě shuìjiào.;In den Bussen sind die meisten Leute müde oder schlafen.;车里的人大多累或者睡觉。;;L08-D-06;L08
Dann geh doch zu Fuß hin und nimm ein Taxi zurück. Wie wäre das?;Nàme, nǐ zǒulù qù, dǎdī huí jiā, zěnme yàng?;;Nàme, nǐ zǒulù qù, dǎdī huí jiā, zěnme yàng?;Dann geh doch zu Fuß hin und nimm ein Taxi zurück. Wie wäre das?;那么，你走路去，打的回家，怎么样？;;L08-D-07;L08
Du kannst mit dem Bus hinfahren.;Nǐ kěyǐ zuò gōngchē qù.;;Nǐ kěyǐ zuò gōngchē qù.;Du kannst mit dem Bus hinfahren.;你可以坐公车去。;;L08-D-08;L08
Ich fahre nicht gern Bus.;Wǒ bù xǐhuan zuò gōngchē.;;Wǒ bù xǐhuan zuò gōngchē.;Ich fahre nicht gern Bus.;我不喜欢坐公车。;;L08-D-09;L08
Im Bus gibt es zu viele Menschen.;Gōngchē lǐ rén tài duō le.;;Gōngchē lǐ rén tài duō le.;Im Bus gibt es zu viele Menschen.;公车里人太多了。;;L08-D-10;L08
Dann geh doch zu Fuß hin, und fahr mit dem Taxi nach Hause, was meinst du?;Nàme, nǐ zǒulù qù, dǎdī huí jiā, zěnme yàng?;;Nàme, nǐ zǒulù qù, dǎdī huí jiā, zěnme yàng?;Dann geh doch zu Fuß hin, und fahr mit dem Taxi nach Hause, was meinst du?;那么，你走路去，打的回家，怎么样？;;L08-D-11;L08
* Lektion 9;*Lektion 9;* Lektion 9;*Lektion 9;*Lektion 9;*Lektion 9;*Lektion 9;L09-1-00;L09
tragen (Kleidung);chuān;Verb;;;穿;;L09-1-01;L09
gerade (Partikel);zhe;Partikel;;;着;;L09-1-02;L09
blau;lánsè;Nomen;;;蓝色;;L09-1-03;L09
Farbe;yánsè;Nomen;;;颜色;;L09-1-04;L09
Hemd;chènshān;Nomen;;;衬衫;;L09-1-05;L09
Jacke, Oberteil;shàngyī;Nomen;;;上衣;;L09-1-06;L09
Jeans;niúzǎikù;Nomen;;;牛仔裤;;L09-1-07;L09
kaufen;mǎi;Verb;;;买;;L09-1-08;L09
Kleidung;yīfu;Nomen;;;衣服;;L09-1-09;L09
wollen, brauchen;yào;Verb;;;要;;L09-1-10;L09
Pullover;máoyī;Nomen;;;毛衣;;L09-1-11;L09
Rock;qúnzi;Nomen;;;裙子;;L09-1-12;L09
rot;hóngsè;Nomen;;;红色;;L09-1-13;L09
Schuhe;xiézi;Nomen;;;鞋子;;L09-1-14;L09
schwarz;hēisè;Nomen;;;黑色;;L09-1-15;L09
T-Shirt;T xù;Nomen;;;T 恤;;L09-1-16;L09
weiß;báisè;Nomen;;;白色;;L09-1-17;L09
Zähleinheitswort für Kleidung;jiàn;Nomen;;;件;;L09-1-18;L09
Zähleinheitswort für lange Dinge (z.B. Hosen);tiáo;Nomen;;;条;;L09-1-19;L09
Sorte, Art;zhǒng;Nomen;;;种;;L09-1-20;L09
Apfel;píngguǒ;Nomen;;;苹果;;L09-1-21;L09
zu (sehr);tài;Adverb;;;太;;L09-1-22;L09
Ei;jīdàn;Nomen;;;鸡蛋;;L09-1-23;L09
einige;xiē;Zählerwort;;;些;;L09-1-24;L09
probieren, versuchen;shì yī shì;Redewendung;;;试一试;;L09-1-25;L09
Gramm;kè;Nomen;;;克;;L09-1-26;L09
Gurke;huángguā;Nomen;;;黄瓜;;L09-1-27;L09
Kilogramm;gōngjīn;Nomen;;;公斤;;L09-1-28;L09
Geschäft;shāngdiàn/diàn;Nomen;;;商店/店;;L09-1-29;L09
zwei (vor Zählwörtern);liǎng;Zählerwort;;;两;;L09-1-30;L09
Milch;niúnǎi;Nomen;;;牛奶;;L09-1-31;L09
Obst;shuǐguǒ;Nomen;;;水果;;L09-1-32;L09
grüne Paprika;qīngjiāo;Nomen;;;青椒;;L09-1-33;L09
passend, geeignet;héshì;Adjektiv;;;合适;;L09-1-34;L09
chinesisches Pfund (500 Gramm);jīn;Nomen;;;斤;;L09-1-35;L09
Dinge, Sachen;dōngxi;Nomen;;;东西;;L09-1-36;L09
suchen;zhǎo;Verb;;;找;;L09-1-37;L09
Tomate;xīhóngshì;Nomen;;;西红柿;;L09-1-38;L09
Traube;pútao;Nomen;;;葡萄;;L09-1-39;L09
Verkäufer;shòuhuòyuán;Nomen;;;售货员;;L09-1-40;L09
* Lektion 10;*Lektion 10;* Lektion 10;*Lektion 10;*Lektion 10;*Lektion 10;*Lektion 10;L10-1-00;L10
alle;dàjiā;Nomen;;;大家;;L10-1-01;L10
antworten;huídá;Verb;;;回答;;L10-1-02;L10
Bedeutung;yìsi;Nomen;;;意思;;L10-1-03;L10
sprechen, erklären;jiǎng;Verb;;;讲;;L10-1-04;L10
beenden;wán;Verb;;;完;;L10-1-05;L10
Frage, Problem;wèntí;Nomen;;;问题;;L10-1-06;L10
Respekt, Achtung;zūnjìng;Verb;;;尊敬;;L10-1-07;L10
Grammatik;yǔfǎ;Nomen;;;语法;;L10-1-08;L10
hören;tīng;Verb;;;听;;L10-1-09;L10
jeder, jede, jedes;měi;Pronomen;;;每;;L10-1-10;L10
Klassenzimmer;jiàoshì;Nomen;;;教室;;L10-1-11;L10
unterrichten;jiāo;Verb;;;教;;L10-1-12;L10
Lektionstext;kèwén;Nomen;;;课文;;L10-1-13;L10
lesen;dú;Verb;;;读;;L10-1-14;L10
Wort, Sprache;huà;Nomen;;;话;;L10-1-15;L10
schreiben;xiě;Verb;;;写;;L10-1-16;L10
chinesische Schriftzeichen;Hànzì;Nomen;;;汉字;;L10-1-17;L10
Unterricht haben;shàngkè;Redewendung;;;上课;;L10-1-18;L10
Unterricht, Stunde;kè;Nomen;;;课;;L10-1-19;L10
Satz;jù;Nomen;;;句;;L10-1-20;L10
Aussprache;fāyīn;Nomen;;;发音;;L10-1-21;L10
einfach;róngyì;Adjektiv;;;容易;;L10-1-22;L10
sich erinnern, aufschreiben;jì;Verb;;;记;;L10-1-23;L10
Fehler, falsch;cuò;Adjektiv;;;错;;L10-1-24;L10
Hochchinesisch;pǔtōnghuà;Nomen;;;普通话;;L10-1-25;L10
lang;cháng;Adjektiv;;;长;;L10-1-26;L10
fühlen, denken;juéde;Verb;;;觉得;;L10-1-27;L10
neu;xīn;Adjektiv;;;新;;L10-1-28;L10
nicht schlecht;búcuò;Adjektiv;;;不错;;L10-1-29;L10
Note, Leistung;chéngjì;Nomen;;;成绩;;L10-1-30;L10
Prüfung;kǎoshì;Nomen;;;考试;;L10-1-31;L10
relativ, vergleichen;bǐjiào;Verb;;;比较;;L10-1-32;L10
schwer;nán;Adjektiv;;;难;;L10-1-33;L10
Stunde;xiǎoshí;Nomen;;;小时;;L10-1-34;L10
Aufgabe, Thema;tí;Nomen;;;题;;L10-1-35;L10
üben, Übung;liànxí/liàn;Verb;;;练习/练;;L10-1-36;L10
verstehen;dǒng;Verb;;;懂;;L10-1-37;L10
Vokabeln;shēngcí;Nomen;;;生词;;L10-1-38;L10
warum;wèishénme;Fragewort;;;为什么;;L10-1-39;L10
wenn, falls;rúguǒ;Konjunktion;;;如果;;L10-1-40;L10
* Lektion 11;*Lektion 11;* Lektion 11;*Lektion 11;*Lektion 11;*Lektion 11;*Lektion 11;L11-1-00;L11
Basketball;lánqiú;Nomen;;;篮球;;L11-1-01;L11
Buch;shū;Nomen;;;书;;L11-1-02;L11
Disco;dísīkē;Nomen;;;迪斯科;;L11-1-03;L11
Fernsehen;diànshì;Nomen;;;电视;;L11-1-04;L11
Fußball;zúqiú;Nomen;;;足球;;L11-1-05;L11
Golf;gāo'ěrfūqiú;Nomen;;;高尔夫球;;L11-1-06;L11
Kung Fu;gōngfu;Nomen;;;功夫;;L11-1-07;L11
joggen;pǎobù;Verb;;;跑步;;L11-1-08;L11
Musik;yīnyuè;Nomen;;;音乐;;L11-1-09;L11
später, nachher;yǐhòu;Adverb;;;以后;;L11-1-10;L11
schwimmen;yóuyǒng;Verb;;;游泳;;L11-1-11;L11
singen;chànggē;Verb;;;唱歌;;L11-1-12;L11
spazieren gehen;sànbù;Verb;;;散步;;L11-1-13;L11
schlagen, spielen (Sport);dǎ;Verb;;;打;;L11-1-14;L11
Tai Chi;tàijíquán;Nomen;;;太极拳;;L11-1-15;L11
tanzen;tiàowǔ;Verb;;;跳舞;;L11-1-16;L11
Tischtennis;pīngpāngqiú;Nomen;;;乒乓球;;L11-1-17;L11
treten, kicken;tī;Verb;;;踢;;L11-1-18;L11
Unterricht beenden;xiàkè;Redewendung;;;下课;;L11-1-19;L11
während, als;...de shíhou;Redewendung;;;···的时候;;L11-1-20;L11
anfangen;kāishǐ;Verb;;;开始;;L11-1-21;L11
Sport;yùndòng;Nomen;;;运动;;L11-1-22;L11
Morgen;zǎoshang;Nomen;;;早上;;L11-1-23;L11
geht so, in Ordnung;hái kěyǐ;Redewendung;;;还可以;;L11-1-24;L11
Feierabend machen;xiàbān;Redewendung;;;下班;;L11-1-25;L11
Freizeit;yèyú shíjiān;Nomen;;;业余时间;;L11-1-26;L11
Hobby;àihào;Nomen;;;爱好;;L11-1-27;L11
Mal (ZEW für Handlungen);cì;Zählerwort;;;次;;L11-1-28;L11
natürlich, selbstverständlich;dāngrán;Adverb;;;当然;;L11-1-29;L11
an etwas interessiert sein;duì... gǎn xìngqù;Redewendung;;;对···感兴趣;;L11-1-30;L11
Tradition;chuántǒng;Nomen;;;传统;;L11-1-31;L11
Fitness;jiànshēn;Nomen;;;健身;;L11-1-32;L11
gehört haben;tīngshuō;Verb;;;听说;;L11-1-33;L11
früher, vorher;yǐqián;Adverb;;;以前;;L11-1-34;L11
wann;shénme shíhou;Fragewort;;;什么时候;;L11-1-35;L11
Wettbewerb, Spiel;bǐsài;Nomen;;;比赛;;L11-1-36;L11
arbeiten gehen;shàngbān;Redewendung;;;上班;;L11-1-37;L11
* Lektion 12;*Lektion 12;* Lektion 12;*Lektion 12;*Lektion 12;*Lektion 12;*Lektion 12;L12-1-00;L12
sich freuen auf;qīdài;Verb;;;期待;;L12-1-01;L12
erhalten;shōudào;Verb;;;收到;;L12-1-02;L12
besuchen (förmlich);guānglín;Nomen;;;光临;;L12-1-03;L12
auf Dienstreise gehen;chūchāi;Verb;;;出差;;L12-1-04;L12
einladen;yāoqǐng;Verb;;;邀请;;L12-1-05;L12
glücklich;kāixīn;Adjektiv;;;开心;;L12-1-06;L12
fröhlich, glücklich;kuàilè;Adjektiv;;;快乐;;L12-1-07;L12
Geburtstag;shēngrì;Nomen;;;生日;;L12-1-08;L12
Gesundheit;jiànkāng;Nomen;;;健康;;L12-1-09;L12
gratulieren;zhùhè/zhù;Verb;;;祝贺/祝;;L12-1-10;L12
hoffen;xīwàng;Verb;;;希望;;L12-1-11;L12
Körper, Gesundheit;shēntǐ;Nomen;;;身体;;L12-1-12;L12
lieb, geliebt;qīn'ài;Adjektiv;;;亲爱;;L12-1-13;L12
männlich, Mann;nán;Nomen;;;男;;L12-1-14;L12
Ort;dìdiǎn/dìfang;Nomen;;;地点/地方;;L12-1-15;L12
Abendveranstaltung;wǎnhuì;Nomen;;;晚会;;L12-1-16;L12
reibungslos, erfolgreich;shùnlì;Adjektiv;;;顺利;;L12-1-17;L12
sehr, äußerst;fēicháng;Adverb;;;非常;;L12-1-18;L12
teilnehmen;cānjiā;Verb;;;参加;;L12-1-19;L12
verstehen;lǐjiě;Verb;;;理解;;L12-1-20;L12
Gelegenheit, Zeitpunkt;zhījì;Präposition;;;之际;;L12-1-21;L12
Blume;huā;Nomen;;;花;;L12-1-22;L12
ZEW für Blumenstrauß;shù;Nomen;;;束;;L12-1-23;L12
eintreten;jìn;Verb;;;进;;L12-1-24;L12
peinlich berührt;bù hǎo yìsi;Redewendung;;;不好意思;;L12-1-25;L12
am meisten, der/die/das Beste;zuì;Adverb;;;最;;L12-1-26;L12
früh;zǎo;Adjektiv;;;早;;L12-1-27;L12
Geschenk;lǐwù;Nomen;;;礼物;;L12-1-28;L12
Möge alles nach Wunsch gehen;wànshì rúyì;Redewendung;;;万事如意;;L12-1-29;L12
bekommen, erhalten;dé;Verb;;;得;;L12-1-30;L12
nicht, andere;bié;Adverb;;;别;;L12-1-31;L12
roter Umschlag (Geldgeschenk);hóngbāo;Nomen;;;红包;;L12-1-32;L12
schenken, liefern;sòng;Verb;;;送;;L12-1-33;L12
sehen, treffen;jiàn;Verb;;;见;;L12-1-34;L12
plaudern, sich unterhalten;liáotiān;Verb;;;聊天;;L12-1-35;L12
sowohl... als auch;yòu... yòu...;Redewendung;;;又···又···;;L12-1-36;L12
Stuhl;yǐzi;Nomen;;;椅子;;L12-1-37;L12
Kuchen;dàngāo;Nomen;;;蛋糕;;L12-1-38;L12
verbringen, feiern;guò;Verb;;;过;;L12-1-39;L12
ZEW für Bücher;běn;Zählerwort;;;本;;L12-1-40;L12
ZEW für flache Gegenstände (z.B. Papier);zhāng;Zählerwort;;;张;;L12-1-41;L12
zuerst... dann;xiān... ránhòu...;Redewendung;;;先···然后···;;L12-1-42;L12
* Lektion 13;*Lektion 13;* Lektion 13;*Lektion 13;*Lektion 13;*Lektion 13;*Lektion 13;L13-1-00;L13
abfahren;fāchē;Verb;;;发车;;L13-1-01;L13
ankommen;dàodá;Verb;;;到达;;L13-1-02;L13
Hochgeschwindigkeitszug;dòngchē;Nomen;;;动车;;L13-1-03;L13
Erste Klasse;yīděng;Nomen;;;一等;;L13-1-04;L13
Fahrplan;shíkèbiǎo;Nomen;;;时刻表;;L13-1-05;L13
Fahrpreis;piàojià;Nomen;;;票价;;L13-1-06;L13
Betrieb, verkehren;yùnxíng;Verb;;;运行;;L13-1-07;L13
Hochgeschwindigkeitszug;gāotiě;Nomen;;;高铁;;L13-1-08;L13
Klimaanlage;kōngtiáo;Nomen;;;空调;;L13-1-09;L13
schnell;kuài;Adjektiv;;;快;;L13-1-10;L13
Schnellzug;kuàichē;Nomen;;;快车;;L13-1-11;L13
Shanghai Hongqiao;Shànghǎi Hóngqiáo;Nomen;;;上海虹桥;;L13-1-12;L13
Sitzplatz;zuòwèi;Nomen;;;座位;;L13-1-13;L13
Süden;nán;Nomen;;;南;;L13-1-14;L13
Fahrkartenverkäufer;shòupiàoyuán;Nomen;;;售票员;;L13-1-15;L13
von... bis...;cóng... dào...;Redewendung;;;从···到···;;L13-1-16;L13
Zug;huǒchē;Nomen;;;火车;;L13-1-17;L13
Zugnummer;chēcì;Nomen;;;车次;;L13-1-18;L13
Zweite Klasse;èrděng;Nomen;;;二等;;L13-1-19;L13
Schlafwagen (harte Liege);yìngwò;Nomen;;;硬卧;;L13-1-20;L13
harter Sitzplatz;yìngzuò;Nomen;;;硬座;;L13-1-21;L13
Schlafwagen (weiche Liege);ruǎnwò;Nomen;;;软卧;;L13-1-22;L13
Air China;Zhōngguó Guójì Hángkōng Gōngsī;Nomen;;;中国国际航空公司;;L13-1-23;L13
Bordkarte;dēngjīpái;Nomen;;;登机牌;;L13-1-24;L13
Economy Class;jīngjìcāng;Nomen;;;经济舱;;L13-1-25;L13
einfache Fahrt;dānchéng;Nomen;;;单程;;L13-1-26;L13
erledigen;bàn;Verb;;;办;;L13-1-27;L13
Flug;hángbān;Nomen;;;航班;;L13-1-28;L13
Flughafen;jīchǎng;Nomen;;;机场;;L13-1-29;L13
Flugzeug;fēijī;Nomen;;;飞机;;L13-1-30;L13
Formalität;shǒuxù;Nomen;;;手续;;L13-1-31;L13
Flugsteig;dēngjīkǒu;Nomen;;;登机口;;L13-1-32;L13
Gute Reise!;yīlù píng'ān;Redewendung;;;一路平安;;L13-1-33;L13
helfen;bāngzhù;Verb;;;帮助;;L13-1-34;L13
Hin- und Rückfahrt;wǎngfǎn;Nomen;;;往返;;L13-1-35;L13
an Bord gehen;dēngjī;Verb;;;登机;;L13-1-36;L13
Koffer;xiāngzi;Nomen;;;箱子;;L13-1-37;L13
München;Mùníhēi;Nomen;;;慕尼黑;;L13-1-38;L13
Reisepass;hùzhào;Nomen;;;护照;;L13-1-39;L13
Schild, Marke;páizi/pái;Nomen;;;牌子/牌;;L13-1-40;L13
Ticket;piào;Nomen;;;票;;L13-1-41;L13
Wagen;chēxiāng;Nomen;;;车厢;;L13-1-42;L13
vergleichen;bǐ;Verb;;;比;;L13-1-43;L13
* Lektion 14;*Lektion 14;* Lektion 14;*Lektion 14;*Lektion 14;*Lektion 14;*Lektion 14;L14-1-00;L14
